12832332,inbook,,foreign aid and the making of democracy in nepal,,alliance for aid monitor nepal,29,,,2013,dec,2013-12-14 09:30:14,,deepening democracy at the local level,"local governance bodies ({lgbs}) have been part and parcel of the nepalese people for more than five decades. for nearly all nepa­lese people, the most familiar public organization is one of two local governance bodies, i.e. village development committee ({vdc}) in rural areas or municipalities in urban areas and the district development committee at the district level. since 1997 there has been no election to these bodies and upon completion of the five year term of the representatives elected in july 2002, are being run and managed by government employees. the government funding support to the {lgbs} has, however, been an increasing trend. another major program, the local governance and community development program ({lgcdp}) has been under implementation since 2008 with the support of a number of donors. activities related to demand-strengthening and citizen empowerment, especially the marginalized sections of the society in the planning process of the {lgbs}, are the important components of this program. the ward citizen forum ({wcf}) and the citizen awareness center ({cac}) are institutional arrangements made at the {vdc} and municipality under this component. in this paper the {wcf} and {cac} have been dealt with in the context of the planning process of the {lgbs}, on the basis of available literature and quick field study of two {vdcs} (one each from the district of kathmandu and bhaktapur) and one municipality of the kavre district, all belonging to the central development region of the country, a limitation of the paper in itself."
1305474,misc,,,,,,,,2002,,2007-05-18 16:14:16,,the {tesla} broadcast authentication protocol,"one of the main challenges of securing broadcast communication is source authentication, or enabling receivers of broadcast data to verify that the received data really originates from the claimed source and was not modified en route. this problem is complicated by mutually untrusted receivers and unreliable communication environments where the sender does not retransmit lost packets."
1001231,proceedings,infocom 2005. 24th annual joint conference of the ieee computer and communications societies. proceedings ieee,,,,,3,,2005,,2006-12-19 01:28:53,,anonymous communications in mobile ad hoc networks,"due to the broadcast nature of radio transmissions, communications in mobile ad hoc networks ({manets}) are more susceptible to malicious traffic analysis. in this paper we propose a novel anonymous on-demand routing protocol, termed {mask}, to enable anonymous communications thereby thwarting possible traffic analysis attacks. based on a new cryptographic concept called pairing, we first propose an anonymous neighborhood authentication protocol which allows neighboring nodes to authenticate each other without revealing their identities. then utilizing the secret pairwise link identifiers and keys established between neighbors during the neighborhood authentication process, {mask} fulfills the routing and packet forwarding tasks nicely without disclosing the identities of participating nodes under a rather strong adversarial model. {mask} provides the desirable sender and receiver anonymity, as well as the relationship anonymity of the sender and receiver. it is also resistant to a wide range of adversarial attacks. moreover, {mask} preserves the routing efficiency in contrast to previous proposals. detailed anonymity analysis and simulation studies are carried out to validate and justify the effectiveness of {mask}."
352713,misc,ieee communications magazine,,,,12,,,2002,aug,2007-05-30 11:47:53,,a survey on sensor networks,"recent advancement in wireless communica- tions and electronics has enabled the develop- ment of low-cost sensor networks. the sensor networks can be used for various application areas (e.g., health, military, home). for different application areas, there are different technical issues that researchers are currently resolving. the current state of the art of sensor networks is captured in this article, where solutions are discussed under their related protocol stack layer sections. this article ..."
956315,article,"selected areas in communications, ieee journal on",,,ieee,10,24,2,2006,feb,2006-11-22 03:22:00,,wormhole attacks in wireless networks,"as mobile ad hoc network applications are deployed, security emerges as a central requirement. in this paper, we introduce the wormhole attack, a severe attack in ad hoc networks that is particularly challenging to defend against. the wormhole attack is possible even if the attacker has not compromised any hosts, and even if all communication provides authenticity and confidentiality. in the wormhole attack, an attacker records packets (or bits) at one location in the network, tunnels them (possibly selectively) to another location, and retransmits them there into the network. the wormhole attack can form a serious threat in wireless networks, especially against many ad hoc network routing protocols and location-based wireless security systems. for example, most existing ad hoc network routing protocols, without some mechanism to defend against the wormhole attack, would be unable to find routes longer than one or two hops, severely disrupting communication. we present a general mechanism, called packet leashes, for detecting and, thus defending against wormhole attacks, and we present a specific protocol, called {tik}, that implements leashes. we also discuss topology-based wormhole detection, and show that it is impossible for these approaches to detect some wormhole topologies."
945604,inproceedings,infocom 2003. twenty-second annual joint conference of the ieee computer and communications. ieee societies,infocom 2003. twenty-second annual joint conference of the ieee computer and communications. ieee societies,,ieee,,3,,2003,mar,2006-11-16 04:19:13,,packet leashes: a defense against wormhole attacks in wireless networks,"as mobile ad hoc network applications are deployed, security emerges as a central requirement. in this paper, we introduce the wormhole attack, a severe attack in ad hoc networks that is particularly challenging to defend against. the wormhole attack is possible even if the attacker has not compromised any hosts, and even if all communication provides authenticity and confidentiality. in the wormhole attack, an attacker records packets (or bits) at one location in the network, tunnels them (possibly selectively) to another location, and retransmits them there into the network. the wormhole attack can form a serious threat in wireless networks, especially against many ad hoc network routing protocols and location-based wireless security systems. for example, most existing ad hoc network routing protocols, without some mechanism to defend against the wormhole attack, would be unable to find routes longer than one or two hops, severely disrupting communication. we present a new, general mechanism, called packet leashes, for detecting and thus defending against wormhole attacks, and we present a specific protocol, called {tik}, that implements leashes."
10294999,article,,,,,,,,2012,feb,2012-02-02 10:28:55,,a 2\% distance to z = 0.35 by reconstructing baryon acoustic oscillations - {iii} : cosmological measurements and interpretation,
967275,inproceedings,"security and privacy for emerging areas in communications networks, 2005. securecomm 2005. first international conference on","security and privacy for emerging areas in communications networks, 2005. securecomm 2005. first international conference on",,ieee,11,,,2005,,2006-11-29 18:51:32,,on the survivability of routing protocols in ad hoc wireless networks,"survivable routing protocols are able to provide service in the presence of attacks and failures. the strongest attacks that protocols can experience are attacks where adversaries have full control of a number of authenticated nodes that behave arbitrarily to disrupt the network, also referred to as byzantine attacks. this work examines the survivability of ad hoc wireless routing protocols in the presence of several byzantine attacks: black holes, flood rushing, wormholes and overlay network wormholes. traditional secure routing protocols that assume authenticated nodes can always be trusted, fail to defend against such attacks. our protocol, {odsbr}, is an on-demand wireless routing protocol able to provide correct service in the presence of failures and byzantine attacks. we demonstrate through simulation its effectiveness in mitigating such attacks. our analysis of the impact of these attacks versus the adversarys effort gives insights into their relative strengths, their interaction and their importance when designing wireless routing protocols."
115945,article,"bioessays : news and reviews in molecular, cellular and developmental biology",,,"wiley subscription services, inc., a wiley company",11,27,3,2005,mar,2005-03-07 02:40:55,"department of biology, washington university, campus box 1229, st. louis, mo 63130, usa.",a twelve-step program for evolving multicellularity and a division of labor.,"the volvocine algae provide an unrivalled opportunity to explore details of an evolutionary pathway leading from a unicellular ancestor to multicellular organisms with a division of labor between different cell types. members of this monophyletic group of green flagellates range in complexity from unicellular chlamydomonas through a series of extant organisms of intermediate size and complexity to volvox, a genus of spherical organisms that have thousands of cells and a germ-soma division of labor. it is estimated that these organisms all shared a common ancestor about 50 +/- 20 {mya}. here we outline twelve important ways in which the developmental repertoire of an ancestral unicell similar to modern c. reinhardtii was modified to produce first a small colonial organism like gonium that was capable of swimming directionally, then a sequence of larger organisms (such as pandorina, eudorina and pleodorina) in which there was an increasing tendency to differentiate two cell types, and eventually volvox carteri with its complete germ-soma division of labor."
11733005,article,genome biology and evolution,,,oxford university press,7,4,7,2012,jan,2012-11-20 13:31:29,,evidence for widespread {gc}-biased gene conversion in eukaryotes,"{gc}-biased gene conversion ({gbgc}) is a process that tends to increase the {gc} content of recombining {dna} over evolutionary time and is thought to explain the evolution of {gc} content in mammals and yeasts. evidence for {gbgc} outside these two groups is growing but is still limited. here, we analyzed 36 completely sequenced genomes representing four of the five major groups in eukaryotes (unikonts, excavates, chromalveolates and plantae). {gbgc} was investigated by directly comparing {gc} content and recombination rates in species where recombination data are available, that is, half of them. to study all species of our dataset, we used chromosome size as a proxy for recombination rate and compared it with {gc} content. among the 17 species showing a significant relationship between {gc} content and chromosome size, 15 are consistent with the predictions of the {gbgc} model. importantly, the species showing a pattern consistent with {gbgc} are found in all the four major groups of eukaryotes studied, which suggests that {gbgc} may be widespread in eukaryotes."
